elapsed_h,sample,temp_c,internal_c,freq_high,freq_low,fault,timestamp
0.3736725025,3437,-3.5,16.62,2178,274310,0,2026-01-03T07:09:46.251702
0.3768392022222222,3438,-3.75,16.56,2176,274168,0,2026-01-03T07:09:57.651821
0.3800059777777778,3439,-3.25,16.62,2174,273974,0,2026-01-03T07:10:09.052213
0.38317263583333333,3440,-3.5,16.68,2174,273838,0,2026-01-03T07:10:20.452182
0.3863393566666667,3441,-2.0,16.68,2172,273668,0,2026-01-03T07:10:31.852377
0.3895060647222222,3442,-2.25,16.68,2170,273534,0,2026-01-03T07:10:43.252526
0.39267275777777777,3443,-3.75,16.5,2170,273362,0,2026-01-03T07:10:54.652621
0.3958395258333333,3444,-2.5,16.75,2170,273192,0,2026-01-03T07:11:06.052986
0.3990061813888889,3445,-2.25,16.43,2168,273038,0,2026-01-03T07:11:17.452946
0.4021728955555556,3446,-2.0,16.56,2164,272896,0,2026-01-03T07:11:28.853117
0.40533964361111113,3447,-2.5,16.43,2164,272708,0,2026-01-03T07:11:40.253410
0.40850632166666667,3448,-2.5,16.56,2160,272540,0,2026-01-03T07:11:51.653451
0.41167307277777776,3449,-1.0,16.56,2156,272344,0,2026-01-03T07:12:03.053755
0.4148397613888889,3450,-2.75,16.56,2154,272248,0,2026-01-03T07:12:14.453834
0.41800648055555556,3451,-1.0,16.62,2152,272050,0,2026-01-03T07:12:25.854023
0.42117317583333336,3452,-1.0,16.5,2150,271902,0,2026-01-03T07:12:37.254126
0.42433991666666665,3453,-1.5,16.68,2148,271720,0,2026-01-03T07:12:48.654393
0.42750659333333335,3454,-1.5,16.5,2146,271554,0,2026-01-03T07:13:00.054429
0.4306732963888889,3455,-1.25,16.62,2144,271360,0,2026-01-03T07:13:11.454560
0.4338400677777778,3456,-1.5,16.62,2144,271210,0,2026-01-03T07:13:22.854937
0.43700678305555557,3457,-1.5,16.5,2142,271006,0,2026-01-03T07:13:34.255112
0.44017350055555554,3458,-1.75,16.75,2140,270820,0,2026-01-03T07:13:45.655295
0.44334015833333335,3459,-1.75,16.62,2140,270598,0,2026-01-03T07:13:57.055263
0.44650686805555556,3460,0.0,16.56,2138,270398,0,2026-01-03T07:14:08.455418
0.4496735625,3461,0.25,16.5,2136,270228,0,2026-01-03T07:14:19.855518
0.4528402772222222,3462,0.0,16.56,2136,270016,0,2026-01-03T07:14:31.255691
0.4560070308333333,3463,-1.75,16.62,2134,269838,0,2026-01-03T07:14:42.656004
0.4591737238888889,3464,0.0,16.62,2134,269668,0,2026-01-03T07:14:54.056099
0.4623404252777778,3465,0.5,16.75,2132,269460,0,2026-01-03T07:15:05.456224
0.46550713416666667,3466,0.0,16.62,2132,269234,0,2026-01-03T07:15:16.856376
0.4686738458333333,3467,0.25,16.62,2148,269022,0,2026-01-03T07:15:28.256538
0.47184055333333336,3468,0.5,16.56,2146,268808,0,2026-01-03T07:15:39.656685
0.4750073252777778,3469,1.0,16.75,2146,268588,0,2026-01-03T07:15:51.057064
0.4781740247222222,3470,0.75,16.68,2144,268370,0,2026-01-03T07:16:02.457182
0.4813406880555556,3471,0.75,16.75,2144,268144,0,2026-01-03T07:16:13.857170
0.48450743611111113,3472,0.5,16.62,2142,267922,0,2026-01-03T07:16:25.257463
0.48767413055555553,3473,1.0,16.56,2142,267738,0,2026-01-03T07:16:36.657563
